book_a;book_b;count
0446672211;0316666343;32
0312966970;0671001795;32
0671001795;0312966970;32
0316666343;0446672211;32
034538475X;0345313860;30
0671001795;0312966091;30
0345313860;034538475X;30
0312966091;0671001795;30
0312966091;0312966970;29
0312966970;0312966091;29
0842329218;0842329250;27
0842329250;0842329218;27
0515132020;0515131229;26
051513287X;0515131229;26
0515131229;051513287X;26
0515131229;0515132020;26
0842329218;0842329242;25
0842329242;0842329218;25
0316666343;0312195516;25
0312966970;0312976275;25
0312976275;0312966970;25
0312195516;0316666343;25
0312976275;0312966091;24
0312980140;0312966970;24
0316096199;0316666343;24
0312966970;0312980140;24
0515132020;051513287X;24
0312990456;0671001795;24
0671001795;0312990456;24
051513287X;0515132020;24
0312966091;0312976275;24
0385335482;0385335881;24
0316666343;0316096199;24
0842329250;0842329242;24
0385335881;0385335482;24
0842329242;0842329250;24
0312980140;0671001795;23
0451190491;0451190548;23
0312966091;0312980140;23
0671001795;0312980140;23
0312980140;0312966091;23
0451190548;0451190491;23
0316601950;0316666343;23
0316666343;0316601950;23
0312195516;0452282152;22
0345339711;0345339738;22
0345339703;0345339738;22
0345339738;0345339703;22
0451190564;0451190491;22
0515136530;0515136379;22
0345339738;0345339711;22
0452282152;0312195516;22
0451190491;0451190564;22
0515136379;0515136530;22
0515128546;0515128554;22
0515128554;0515128546;22
0451190548;0451190564;21
0316666343;0671003755;21
0553279556;0553284789;21
0671003755;0316666343;21
0515128554;0515126772;21
0061009059;0671001795;21
0451190564;0451190548;21
0671001795;0061009059;21
0515126772;0515128554;21
0553284789;0553279556;21
1400034779;1400031354;21
1400031354;1400034779;21
0449219461;0449219364;20
0553284789;0449219364;20
0312976275;0312980140;20
0449219364;0553284789;20
0451190548;0451190521;20
0451190521;0451190556;20
0451190521;0451190548;20
0449219364;0449219461;20
0451190556;0451190521;20
0312980140;0312976275;20
0671001795;0312976275;19
0451190556;0451190548;19
051513628X;0515136530;19
051513628X;0515136379;19
0515136379;051513628X;19
0312976275;0671001795;19
0451190548;0451190556;19
0842329269;0842329242;19
0842329242;0842329269;19
0515136530;051513628X;19
0451190521;0451190491;19
0345339681;0345339738;19
1400031354;1400031362;19
0345339738;0345339681;19
0553284789;0449221512;19
1400031362;1400031354;19
0451190491;0451190521;19
0316601950;0446672211;19
0446672211;0316601950;19
0449221512;0553284789;19
0345339703;0345339681;18
0441002935;0441004520;18
0441002935;0441003745;18
0345339703;0345339711;18
0449221512;0553279556;18
0451190556;0451190491;18
0451190564;0451190521;18
0312990456;0312966970;18
0375706771;0316666343;18
0345339711;0345339681;18
0441003745;0441002935;18
0316666343;0375706771;18
0345339681;0345339703;18
0345339681;0345339711;18
0515128546;0515126772;18
0312966970;0312990456;18
0449219364;0449221512;18
0449221482;0449221512;18
0316666343;0671021001;18
0553250426;0553250531;18
0553271636;0553279556;18
0441004520;0441002935;18
0449221512;0449219461;18
0449221512;0449221482;18
0553279556;0449221512;18
0449219461;0553279556;18
0449219461;0449221512;18
0451190521;0451190564;18
0553250531;0553250426;18
0553279556;0449219461;18
0385335881;0385336179;18
0449221512;0449219364;18
0385336179;0385335881;18
0553279556;0553271636;18
0345339711;0345339703;18
0671021001;0316666343;18
0451190491;0451190556;18
0515126772;0515128546;18
0842329269;0842329250;17
0553284789;0553271636;17
0449219461;0553284789;17
0553284789;0449219461;17
0553279556;0449219364;17
0316601950;0312195516;17
0449219364;0553279556;17
0877017883;0811801802;17
0312966091;0061009059;17
0451190564;0451190556;17
0446672211;0312195516;17
0312195516;0316601950;17
0842329250;0842329269;17
0553280368;0553279912;17
0312195516;0446672211;17
0553271636;0553284789;17
0811801802;0877017883;17
0425154092;0380718332;17
0312195516;0060930535;17
0441000916;0441002935;17
0441002935;0441000916;17
0061009059;0312966091;17
0553279556;0553280368;17
0553280368;0553279556;17
0060930535;0312195516;17
0553279912;0553280368;17
0451190556;0451190564;17
0380718332;0425154092;17
0553250531;0553289411;16
0553284789;0449221482;16
0312966091;0312990456;16
0449219461;0553271636;16
0312990456;0312966091;16
0316666343;0316284955;16
0553289411;0553250531;16
0449219364;0553271636;16
0316666343;0142000205;16
0842329218;0842329269;16
0842329277;0842329250;16
0842329269;0842329218;16
0316666343;0060934417;16
0842329250;0842329277;16
