,User-ID,ISBN,Book-Rating
1474,277427,0061009059,9
1543,277427,0345413903,10
1564,277427,0380702843,8
1601,277427,0399501487,9
1611,277427,0425116840,8
1615,277427,0425133516,9
1650,277427,0440236061,8
1652,277427,0440236738,9
1718,277427,0553280368,9
1755,277427,0671528904,8
1778,277427,0679736042,5
1797,277427,0740723367,9
1803,277427,0743457943,8
1810,277427,0786866845,10
1828,277427,0811802981,10
1829,277427,0811811409,10
1842,277427,0836217691,10
1844,277427,0836218515,10
1849,277427,0836221192,10
3150,277945,0312983301,6
3159,277945,0515121843,7
3161,277945,0515124214,7
3162,277945,0515134384,7
3165,277945,0515136379,7
3166,277945,0515136530,7
3382,278026,0061009059,8
3394,278026,038533558X,9
3406,278026,0449006522,8
3407,278026,0449219364,6
3408,278026,0449221512,5
3415,278026,0451206525,8
3422,278026,0671001795,8
3426,278026,0684810387,8
3817,278188,0373218192,7
3819,278188,0373244487,6
3831,278188,0373484003,7
3862,278188,0440223571,9
3863,278188,0440225701,9
3873,278188,0446603589,9
9130,278582,0312980140,7
9131,278582,0312983298,3
9135,278582,0312990456,5
9144,278582,0425191583,8
9151,278582,0449221512,8
9161,278582,0671001795,8
9170,278582,1400034779,10
9198,278633,0140244824,7
9200,278633,0140296298,7
9202,278633,0142000205,7
9204,278633,0316096199,8
9205,278633,0316666343,9
9210,278633,0375703063,7
9227,278633,0449907481,6
9235,278633,0515131083,10
9253,278633,0684814994,10
9257,278633,0688170528,8
9258,278633,0743225082,7
9457,278843,0060173289,9
9465,278843,0142000205,9
9485,278843,0553274503,8
9495,278843,0679412956,8
9503,278843,0767902890,9
9504,278843,0786881852,8
10801,507,0140230165,7
10856,507,0553564528,7
10859,507,0553575538,7
10862,507,055357695X,7
10867,507,0553583441,7
10868,507,0553583468,7
11078,638,0316666343,10
11083,638,0316779423,10
11085,638,0316789089,10
11087,638,0345339711,10
11093,638,0385420161,9
11119,638,0670892963,7
11120,638,0671042556,9
11128,638,0679746048,7
11550,805,0060256672,10
11556,805,0140077022,10
11575,805,0452282152,8
11577,805,0553268449,8
11580,805,0671003755,8
11590,805,0877733759,10
11740,882,0373218400,5
11741,882,0373484224,7
11785,882,0517556278,8
11792,882,0553250426,10
11811,882,067101420X,4
11827,882,0743457943,5
12278,1131,0060934417,8
12279,1131,0060976845,7
12299,1131,0394758285,7
12303,1131,0446672211,7
12304,1131,0446673544,5
12306,1131,0449149676,7
12319,1131,0679772677,7
12730,1424,0060930535,7
12739,1424,0099771519,8
12747,1424,0142001430,7
12749,1424,0151002290,6
12752,1424,0156001314,8
12828,1424,0767902521,8
12896,1435,0399133143,5
12912,1435,0446672211,8
12924,1435,0517149257,10
12935,1435,0671024248,4
12973,1435,0971880107,5
12975,1435,155874262X,10
14014,2012,0345353145,8
14020,2012,0449221482,8
14023,2012,0553279912,10
14024,2012,0553348973,5
14028,2012,0670892963,2
14029,2012,0671023616,8
14133,2033,0140386645,8
14134,2033,0142000663,10
14166,2033,0451456718,10
14182,2033,051513628X,6
14192,2033,0553573136,8
14201,2033,0671524313,6
14224,2033,0765342987,10
14253,2033,0812575717,10
14255,2033,0836204387,10
14257,2033,0836218787,10
14258,2033,0836220889,10
14259,2033,0836221362,10
14300,2033,0920668372,10
14448,2110,0060987529,7
14462,2110,0345314255,10
14463,2110,0345317580,10
14526,2110,0515127396,8
14528,2110,0515134384,5
14563,2110,0671527215,9
14568,2110,0671695304,10
14925,2276,0345423615,9
14927,2276,0345447867,9
15081,2276,0451204891,9
15143,2276,0553575538,10
15146,2276,0553582526,9
15148,2276,0553583468,10
15158,2276,0671016768,8
15175,2276,0671524313,10
15260,2276,0812517725,8
16286,2766,0316666343,9
16328,2766,0440219078,8
16334,2766,0440237688,7
16336,2766,044048474X,7
16364,2766,0553279912,7
16377,2766,0670030643,8
16406,2766,0684801221,10
16422,2766,0767902521,8
16480,2766,0971880107,6
16488,2766,1558745718,7
16726,2891,0345404475,7
16729,2891,0374100128,7
16767,2891,0449912558,9
16772,2891,0452260116,8
16785,2891,0553211404,7
16803,2891,0671003755,7
16836,2891,1400032717,8
17905,3363,006098824X,10
18017,3363,0316096199,10
18065,3363,0373250118,7
18066,3363,0373250126,8
18169,3363,0385722435,10
18244,3363,044652087X,10
18257,3363,0446672211,10
18333,3363,0553213164,10
18892,3373,0312291639,8
18900,3373,0380804697,7
18913,3373,0425178951,5
18923,3373,0449003787,7
18927,3373,0451208811,8
18928,3373,0452264464,10
20314,3827,0140132708,10
20331,3827,0345348036,9
20334,3827,034538475X,8
20336,3827,0345409671,8
20339,3827,0345423402,7
20385,3827,0553573861,10
20398,3827,0765342987,10
20406,3827,0826308791,8
20412,3827,0886777844,7
20753,4017,0060175966,9
20764,4017,0060930187,10
20767,4017,0060964049,9
20777,4017,0140244824,10
20789,4017,0312150601,5
20797,4017,0316096199,10
20801,4017,0316666343,10
20803,4017,0316789844,10
20811,4017,0345423097,10
20812,4017,0345423291,9
20814,4017,0345433491,9
20818,4017,0375406530,10
20822,4017,0375500510,10
20828,4017,0375705856,9
20834,4017,0380005239,10
20839,4017,0380730138,9
20843,4017,0385265700,9
20861,4017,0399142789,10
20872,4017,0446677450,10
20874,4017,0449911004,8
20876,4017,0452260116,9
20883,4017,0452282829,10
20893,4017,0670892963,8
20914,4017,0688177859,7
20947,4017,1558746161,10
20950,4017,1565122968,10
23638,5476,0316096199,4
23639,5476,0316666343,4
23641,5476,0316780812,10
23645,5476,034540761X,7
23653,5476,0440225701,5
23654,5476,0446530387,7
23671,5476,0804108749,8
23815,5539,0061031844,6
23823,5539,0345339681,10
23824,5539,0345423402,8
23830,5539,0385490445,10
23841,5539,0451206525,9
23848,5539,0618129022,10
23860,5539,0875421180,5
23981,5582,0312966970,10
23983,5582,0312976275,10
23990,5582,0345409671,10
23992,5582,0345423402,10
23994,5582,0375401598,7
23998,5582,0380789035,9
24017,5582,0425178579,10
24018,5582,0425181464,10
24019,5582,0425181685,10
24020,5582,0425183971,10
24021,5582,0440108268,8
24027,5582,0441005748,10
24049,5582,0553212451,9
24057,5582,0679454470,7
24060,5582,0679720200,10
24066,5582,0679785892,9
24092,5582,0894803204,10
24099,5582,1551668653,8
24101,5582,1558744150,5
25136,6073,0345347536,8
25137,6073,0345404475,9
25144,6073,0385474547,9
25170,6073,0671742515,9
25171,6073,0679723161,10
25172,6073,0679735909,10
25174,6073,067976397X,10
25175,6073,0679776818,9
25177,6073,0767902890,10
25180,6073,0802130208,10
25454,6242,0060934417,7
25458,6242,0060987103,7
25474,6242,0142001430,7
25480,6242,0312099436,5
25483,6242,0312144075,5
25484,6242,0312150601,5
25485,6242,0312195516,7
25490,6242,0312282990,6
25492,6242,0312291639,5
25498,6242,0345418018,6
25501,6242,0375705198,6
